full_name,external_appeal_score
xxyzz/wiktionary_stardict,0.335
PuddinCat/OllamaSpider,0.37
chengliu97/ProDualNet,0.405
sparklost/endcord,0.46499999999999997
maimengmeng/mysub,0.34
digitaldemocracy2030/polimoney,0.495
hengruiyun/AI-Stock-Master,0.505
huangusaki/PicLingo,0.335
apikusu/altstore,0.335
fansiphone/pachong-tom,0.3
OpenHUTB/nn,0.43
WwZzz/ILStudio,0.335
premiumcreativeuser/live_events_pu,0.30500000000000005
Code-Science/Awesome-AI-Landscape,0.3
YangLang116/auto_gen,0.335
ErgoDevs/Ergo-Bounties,0.46499999999999997
nodesfree/v2raynode,0.37
nodesfree/clashnode,0.37
nbshenxm/pentest-agent,0.4225
w154594742/free-v2ray-node,0.37500000000000006
United-Compute/gpu-price-tracker,0.335
Romihi/annotation_training_d2j,0.265
onlyno999/streamlit.io,0.37
LRFP-Team/LRFP,0.505
HarishM-AIML-A-58/LeetCode_Daily,0.335
eddiehe99/xyzrank,0.475
Zhalslar/astrbot_plugin_reread,0.335
nightah/daddylive,0.34
KNR-PW/Dron_symulacja,0.37
Josh9456/IPTV-m3u,0.37500000000000006
spincat/SmartProxyPipeline,0.3
Ice-001/wxvuln,0.37500000000000006
cbcoutinho/nextcloud-mcp-server,0.43000000000000005
hamedcode/port-based-v2ray-configs,0.405
Zhalslar/astrbot_plugin_relationship,0.335
946727185/auto-ip-update,0.43999999999999995
silasary/apworlds,0.37
djdoolky76/UDPTV,0.3
Kai-One001/cve-,0.265
waterdisappear/ATRNet-STAR,0.46499999999999997
OpenBuilders/access-tool,0.4225
RogoLabs/CNAScoreCard,0.37500000000000006
cavefire/Bose-Homeassistant,0.37
asukaneko/comic-downloader,0.37500000000000006
DCjanus/prompts,0.3
Bittu5134/ORV-Reader,0.57
junlangzi/Lottery-Predictor,0.37500000000000006
krozgrov/ha-omlet-integration,0.37
JEEBIS27/Plover_Mejiro,0.34
nkapila6/mcp-local-rag,0.405
ClimenteA/social-media-posts-scheduler,0.4
spyboy-productions/ObfuXtreme,0.46499999999999997
lizaifu2026/df,0.37
XargonWan/Synthetic_Heart,0.395
JoeGaffney/deferred-diffusion,0.335
Liiesl/EasyScanlate,0.38249999999999995
umbertogriffo/fastapi-blueprint,0.335
DDSRem-Dev/MoviePilot-Plugins,0.5475
hbin0701/Pred-Sent,0.335
nerdai/llm-agents-from-scratch,0.4
hbq0405/emby-toolkit,0.42
keta1930/mcp-agent-graph,0.46499999999999997
cavefire/pybose,0.405
0610840119/iptv-api,0.37500000000000006
dillfrescott/mvsep-beta,0.3
john-friedman/datamule-indicators,0.37500000000000006
mkuthan/solis-cloud-control,0.37
yoyolicoris/philtorch,0.335
seud0nym/sigenergy2mqtt,0.335
Ethan-Men/8159-TV,0.37500000000000006
whiteout-project/bot,0.43999999999999995
Mifta24/auto-quotes,0.3
kingshot-project/Kingshot-Discord-Bot,0.43999999999999995
RynoxPrime/SpotiFX,0.335
Yui007/bato_downloader,0.41000000000000003
keekyslusus/SteamFlow,0.335
analyticsinmotion/werx,0.335
plsy1/epg,0.37500000000000006
eliranwong/agentmake,0.41000000000000003
leafyin/game-help-script,0.30500000000000005
mapterhorn/mapterhorn,0.45499999999999996
codelion/pts,0.46499999999999997
hxabcd/easiauto,0.3
hackclub/nephthys,0.43000000000000005
Elwinmage/ha-reefbeat-component,0.41000000000000003
juspay/clairvoyance,0.43000000000000005
carl0smat3us/undetected,0.3
MagiclabRobotics/magicbot-gen1_description,0.3
flyingbitac/fly_in_docker,0.3
FBruzzesi/anyschema,0.36
hahahafeifeifei/PIGA,0.335
AnInsomniacy/tracknet-series-pytorch,0.34
ViStoryBench/vistorybench,0.46499999999999997
jaimebarran/spotify-latest-episodes,0.34
ELXaber/chaos-persona,0.37
fishros/fprotocol,0.3
