full_name,external_appeal_score
whstu/GreenhubLicence,0.335
succinctlabs/op-succinct,0.56
cuijianzhuang/jetbrains_servers_updater,0.41000000000000003
CSOS-Team/SoundOfSteam,0.4
KallDrexx/Dotnet6502,0.335
SSM-FX/KeyboxStatus,0.3
REIJI007/Adblock-Rule-Collection,0.405
user23333/kaka,0.335
Elpapiema/AlyaBot_MD,0.37500000000000006
ChanMeng666/library-management-system,0.43999999999999995
jagreehal/ai-sdk-ollama,0.37
SchoolAI/loro-extended,0.335
cluntop/tv,0.37500000000000006
Oniicyan/BT_BAN,0.335
Izikie/Radiant,0.37500000000000006
sunyink/MFABD2,0.42999999999999994
congzhen/cm_collectors_3,0.37
malinkang/duolingo2notion,0.43999999999999995
steve02081504/GentianAphrodite,0.41000000000000003
IzumiSy/mcp-duckdb-memory-server,0.4225
pagcoinbr/brln-os,0.37500000000000006
cherry-embedded/CherryECAT,0.44500000000000006
qiantongtech/qKnow,0.505
opencve/opencve-kb,0.34
