full_name,code_health_score
vrishank-cmd/Whatsapp-Bot,42.999093440025455
Oliveira3d/free-ip-stresser-booter,44.21768040092545
sammakumbe/burp-idor,38.96655305238074
inspirepan/klaude-code,36.024726312470776
mdtajnur22/kiss-slam,26.772378295099188
JoseAP02/Font-Downloader,29.172378295099186
kastalimohammed1965/CLIP-fine-tune-registers-gated,34.6966089684448
gorkaydemir/track_on,55.302032718172704
VOICEVOX/voicevox_vvm,40.74912613288458
camel52zhang/yxip,36.85145954741539
HuichuanLI/play-with-instruct-model,27.772378295099188
giuliomagnifico/raiplay-feed,30.12259236499256
xiaozhuABCD1234/AutoAnswer_zhihuishu,42.60939538727859
mkaflowski/Gemini-SRT-translator-GUI,44.2302339586031
xychcz/S3Fit,35.02804079880759
xxyzz/wiktionary_stardict,26.772378295099188
PuddinCat/OllamaSpider,38.26799026808984
chengliu97/ProDualNet,38.007164700978564
sparklost/endcord,52.42096293102757
maimengmeng/mysub,34.43465933225445
digitaldemocracy2030/polimoney,34.87706877888457
hengruiyun/AI-Stock-Master,45.079378757917524
huangusaki/PicLingo,28.772378295099188
apikusu/altstore,33.6966089684448
fansiphone/pachong-tom,36.19480642193152
OpenHUTB/nn,20.170760404386673
WwZzz/ILStudio,46.18341199073083
premiumcreativeuser/live_events_pu,32.36366590335386
Code-Science/Awesome-AI-Landscape,34.02804079880759
YangLang116/auto_gen,35.43465933225445
ErgoDevs/Ergo-Bounties,35.456980063952656
nodesfree/v2raynode,39.14943413328441
nodesfree/clashnode,40.43587996029282
nbshenxm/pentest-agent,51.34235957619549
w154594742/free-v2ray-node,33.53638999884707
United-Compute/gpu-price-tracker,44.28038881617918
Romihi/annotation_training_d2j,34.345480245582834
onlyno999/streamlit.io,28.532525384776235
LRFP-Team/LRFP,39.98137575748322
HarishM-AIML-A-58/LeetCode_Daily,31.172378295099186
eddiehe99/xyzrank,30.47032761151615
Zhalslar/astrbot_plugin_reread,37.11814231724589
nightah/daddylive,42.42837219977252
KNR-PW/Dron_symulacja,38.51018787553022
Josh9456/IPTV-m3u,42.725702310730064
spincat/SmartProxyPipeline,26.772378295099188
Ice-001/wxvuln,44.16301720728512
cbcoutinho/nextcloud-mcp-server,36.440498756090236
hamedcode/port-based-v2ray-configs,47.754814122931975
Zhalslar/astrbot_plugin_relationship,37.0933876603693
946727185/auto-ip-update,39.30931253398517
silasary/apworlds,36.12554347481772
djdoolky76/UDPTV,33.6966089684448
Kai-One001/cve-,35.085665890399454
waterdisappear/ATRNet-STAR,52.7749112521271
OpenBuilders/access-tool,41.45154750606332
RogoLabs/CNAScoreCard,42.10025485574654
cavefire/Bose-Homeassistant,44.18851928944957
asukaneko/comic-downloader,33.6966089684448
DCjanus/prompts,37.11814231724589
Bittu5134/ORV-Reader,50.101422311553534
junlangzi/Lottery-Predictor,33.10171626716354
krozgrov/ha-omlet-integration,31.172378295099186
JEEBIS27/Plover_Mejiro,33.85231412200798
nkapila6/mcp-local-rag,46.496161259798626
ClimenteA/social-media-posts-scheduler,44.04321224520176
spyboy-productions/ObfuXtreme,41.2682850809246
lizaifu2026/df,31.25452537182182
XargonWan/Synthetic_Heart,33.86946567373997
JoeGaffney/deferred-diffusion,40.931746710895226
Liiesl/EasyScanlate,48.58111131155052
umbertogriffo/fastapi-blueprint,41.58275326904023
DDSRem-Dev/MoviePilot-Plugins,35.746507531294675
hbin0701/Pred-Sent,51.61854973318126
nerdai/llm-agents-from-scratch,39.71349714225366
hbq0405/emby-toolkit,44.92200953002564
keta1930/mcp-agent-graph,51.09727881758009
cavefire/pybose,32.25452537182182
0610840119/iptv-api,40.92375334591468
dillfrescott/mvsep-beta,32.86946567373997
john-friedman/datamule-indicators,43.34905016407771
mkuthan/solis-cloud-control,44.77821734219644
yoyolicoris/philtorch,34.02804079880759
seud0nym/sigenergy2mqtt,41.21564499325601
Ethan-Men/8159-TV,41.53174671089523
whiteout-project/bot,40.03282389388977
Mifta24/auto-quotes,26.772378295099188
kingshot-project/Kingshot-Discord-Bot,39.71119793379188
RynoxPrime/SpotiFX,29.772378295099188
Yui007/bato_downloader,43.374397712801944
keekyslusus/SteamFlow,26.772378295099188
analyticsinmotion/werx,27.772378295099188
plsy1/epg,32.84459235203814
eliranwong/agentmake,45.471656987947675
