,community_vitality_score
249,52.301518963612644
250,29.41234498333204
251,24.03508365984589
252,33.64544121856284
253,20.59335762497018
254,26.75204909835296
255,31.39841977679132
256,22.125470454552662
257,35.75397541787454
258,25.019792034638073
259,67.3467011821008
260,24.250695013828143
261,44.986165488835596
262,31.320523701364348
263,42.43024707888764
264,34.62258173072029
265,38.84094004225436
266,41.845139626382434
267,39.287684068092375
268,39.9131841652948
269,22.28163285494037
270,28.05795043213686
271,30.71306115051896
272,24.372491896324178
273,34.77203646840907
274,26.235325115817766
275,52.262069305735956
276,37.849572851621716
277,35.31959424148882
278,31.320523701364348
279,37.97288749813497
280,31.05290679851639
281,42.54328852331682
282,39.62844128481607
283,25.59099272159487
284,35.41134649862383
285,7.735049164606194
286,16.532112829582484
287,27.370612230591238
288,26.05284821279318
289,26.954370853013867
290,34.48485139617746
291,31.24607172115567
292,37.08581675067772
293,24.890145110659283
294,42.642262253944814
295,27.316082926734847
296,33.28307479534136
297,34.67534583176602
298,26.954370853013867
299,29.182078807274912
300,13.209287438893899
301,30.659329019116512
302,33.86526208870049
303,9.636987906248319
304,31.96245360517321
305,24.256480931324116
306,21.535243169474796
307,10.4513550186654
308,38.531172762178244
309,51.16047603582306
310,3.8483111549501485
311,14.391199230851612
312,23.645441218562837
313,17.316082926734847
314,24.842517999490767
315,23.86526208870049
316,35.400344756018995
317,24.9986999799693
318,46.954929157874204
319,36.18325131012066
320,42.58501962809886
321,24.48485139617746
322,47.2861371367066
323,14.714921568714008
324,20.69810062891625
325,20.79567937963109
326,31.609762038758447
327,32.34540672332314
328,27.289494347326134
329,37.20340411701836
330,35.23972830340855
331,23.150468875144277
332,50.75472380979321
333,30.93627056318372
334,35.93957068804476
335,36.87276680458591
336,35.74875473510211
337,20.20293117063849
338,17.776932120311752
339,16.08702994835804
340,42.36266366192301
341,6.884557529746235
342,33.41452069300522
343,34.29977757633701
344,39.72165498423901
345,39.16596912491302
346,36.30678532288134
347,34.77041785608001
348,21.618240646928975
349,19.13569584361294
350,26.83363101324662
351,37.90168219274727
352,36.76951034733654
353,26.532112829582484
354,43.28666318080522
355,32.696786540142284
356,6.618240646928976
357,21.749684194977643
358,42.95435816867948
359,35.873613042096785
360,27.36542494728959
361,42.830219137870245
362,12.203404117018357
363,12.071330034641978
364,63.095042408558086
365,35.16183222798158
366,33.57261149994284
367,45.25500980160909
368,42.502484124053225
369,34.61569711440076
370,18.527367146012015
371,23.6598755774053
372,45.669058685648025
373,32.502484124053225
374,50.652837600564695
375,18.527367146012015
376,81.36960612420667
377,18.527367146012015
378,31.816111319932702
379,32.502484124053225
380,37.23378709737884
381,17.502484124053225
382,54.410995215882735
383,53.86138318763389
384,32.502484124053225
385,17.502484124053225
386,72.95827842702394
387,17.502484124053225
388,32.502484124053225
389,32.502484124053225
390,28.98691631955822
391,32.502484124053225
392,34.45985407149441
393,33.00047357571843
394,30.223224226278774
395,17.502484124053225
396,23.09584174902341
397,46.34379265067045
398,33.52736714601201
399,17.502484124053225
400,72.99990729598679
401,33.52736714601201
402,18.307546275874365
403,33.307546275874365
404,38.59081409244197
405,63.537092930322345
406,43.52736714601201
407,32.502484124053225
408,33.52736714601201
409,33.307546275874365
410,32.502484124053225
411,17.502484124053225
412,17.502484124053225
413,46.5163167388954
414,17.502484124053225
415,17.502484124053225
416,32.502484124053225
417,36.08447839618612
418,40.90689701917681
419,43.52736714601201
420,17.502484124053225
421,50.34286319079493
422,84.9250992602605
423,42.502484124053225
424,35.25500980160909
425,55.27811622433427
426,51.757388654036774
427,37.36867567262925
428,34.32180463658322
429,66.27852991072464
430,19.90362998478995
431,17.502484124053225
432,24.55000066322832
433,44.33242929783316
434,33.307546275874365
435,17.502484124053225
436,45.48887126647344
437,23.590814092441967
438,17.502484124053225
439,42.502484124053225
440,69.71612855643187
441,32.502484124053225
442,34.81856705078807
443,27.90492099104808
444,32.502484124053225
445,21.366142378541433
446,47.488379198178016
447,17.502484124053225
448,32.502484124053225
449,36.34379265067045
450,23.675937672153697
451,17.502484124053225
452,32.502484124053225
453,18.307546275874365
454,27.446609335094934
455,85.67003880531657
456,17.502484124053225
457,17.502484124053225
458,21.63127264038703
459,42.502484124053225
460,42.23219253979005
461,32.502484124053225
462,32.502484124053225
463,73.47795966945701
464,32.502484124053225
465,73.47795966945701
466,32.502484124053225
467,32.502484124053225
468,66.2304950837432
469,36.81152907394746
470,19.254533222406184
471,41.14792534261606
472,24.120724770982207
473,42.502484124053225
474,37.36867567262925
475,56.49580527744739
476,43.52736714601201
477,32.502484124053225
478,55.051292725863696
479,17.502484124053225
480,42.502484124053225
481,34.25453322240618
482,48.270299398830254
483,55.345960055857425
484,35.70869213661109
485,17.502484124053225
486,36.304299266323774
487,36.47412083746917
488,17.502484124053225
489,17.502484124053225
490,58.656432899818746
491,58.54254781845281
492,23.590814092441967
493,63.826090577994314
494,17.502484124053225
495,47.7586314191121
496,51.397376014191536
497,39.55000066322832
498,34.81856705078807
499,32.502484124053225
500,36.014762561722286
501,83.84238773658757
502,34.81856705078807
503,17.502484124053225
504,42.502484124053225
505,33.52736714601201
506,47.7586314191121
507,49.51036721226525
508,36.81152907394746
509,17.502484124053225
510,32.502484124053225
511,42.502484124053225
512,33.52736714601201
513,36.741928638116455
514,32.502484124053225
515,34.25453322240618
516,52.446609335094934
517,33.52736714601201
518,45.887308465299206
519,32.502484124053225
520,43.52736714601201
521,42.502484124053225
522,42.502484124053225
523,46.34379265067045
524,42.502484124053225
525,42.502484124053225
526,17.502484124053225
527,44.81856705078807
528,43.52736714601201
529,44.81856705078807
530,46.34379265067045
531,46.34379265067045
532,47.36867567262925
533,66.72146287055699
534,46.34379265067045
535,43.52736714601201
536,50.18510117728768
537,55.5944876644986
538,42.64468640904147
539,42.502484124053225
540,49.464937729226435
541,42.502484124053225
542,42.502484124053225
543,42.502484124053225
544,17.502484124053225
545,27.502484124053225
546,41.43680769771706
547,17.502484124053225
548,17.502484124053225
549,53.85729003032238
550,38.6598755774053
551,44.25453322240618
552,67.41650934688644
553,47.03146534271794
554,17.502484124053225
555,45.33517341001426
556,24.120724770982207
557,43.35198904408228
558,24.22228430790731
